單位名稱,lon,lat,編號,電話,地址,縣市,鄉鎮市區,鄰里
杏一台北長庚藥局,121.550038,25.055685,5901013504,(02)25149463,臺北市松山區敦化北路１９９巷２弄３號,臺北市,松山區,中華里
立赫民生藥局,121.55223,25.057856,5901013513,(02)27139200,臺北市松山區民生東路４段７２號,臺北市,松山區,精忠里
佑全松山南京東藥局,121.566247,25.052005,5901013531,(02)27687807,臺北市松山區南京東路５段２９１巷７號,臺北市,松山區,安平里
康麗藥局,121.546812,25.053739,5901013728,(02)27174117,臺北市松山區南京東路３段３０３巷２０號（１樓）,臺北市,松山區,中正里
靜園藥局,121.542921,25.022541,5901020376,(02)27336390,臺北市大安區和平東路２段１１８巷５７之１號,臺北市,大安區,龍淵里
延吉大藥局,121.554791,25.040657,5901020385,(02)27819227,臺北市大安區延吉街１５３號１樓,臺北市,大安區,正聲里
燕福藥局,121.532433,25.018166,5901020590,(02)23627307,臺北市大安區羅斯福路３段２８３巷１４弄１４號之３,臺北市,大安區,大學里
龍護大藥局,121.545445,25.034014,5901020616,(02)23250686,臺北市大安區大安路１段２２４巷７號１Ｆ,臺北市,大安區,仁慈里
泰佑藥局,121.551733,25.030107,5901020661,(02)27056841,臺北市大安區安和路２段７２號１Ｆ,臺北市,大安區,義安里
四維藥局,121.545447,25.028455,5901020689,(02)27094222,臺北市大安區復興南路２段１５１巷４３號１樓,臺北市,大安區,龍雲里
羅斯福藥局,121.531295,25.019031,5901020698,(02)23699606,臺北市大安區羅斯福路３段２８３巷９弄３號,臺北市,大安區,大學里
赫慶藥局,121.540809,25.02866,5901020732,(02)27063497,臺北市大安區瑞安街２０８巷１１弄５號１樓,臺北市,大安區,龍圖里
順天堂藥局,121.529203,25.022564,5901020858,(02)23627149,臺北市大安區龍泉街９６號,臺北市,大安區,古風里
大興藥局,121.555477,25.030555,5901020876,(02)27053369,臺北市大安區通化街３９巷５０弄１５號１樓,臺北市,大安區,通化里
建如藥局,121.554342,25.021742,5901021382,(02)27331456,臺北市大安區和平東路３段２２８巷１１號１Ｆ,臺北市,大安區,黎孝里
生光藥局,121.541207,25.041353,5901022601,(02)27780862,臺北市大安區忠孝東路３段２４８巷２號,臺北市,大安區,義村里
永康藥局,121.528995,25.032891,5901022898,(02)23279362,臺北市大安區麗水街６之２號,臺北市,大安區,永康里
世中欣藥局,121.529407,25.033154,5901023073,(02)23938947,臺北市大安區永康街２巷８號,臺北市,大安區,永康里
加豐藥局,121.540265,25.041255,5901023091,(02)27219678,臺北市大安區忠孝東路３段２１６巷３弄１號１樓,臺北市,大安區,義村里
麗樺藥師藥局,121.529038,25.032246,5901023304,(02)23952628,臺北市大安區麗水街３號,臺北市,大安區,永康里
安和藥局,121.551941,25.034332,5901023313,(02)27092349,臺北市大安區安和路１段１０２巷３號,臺北市,大安區,敦安里
佑安藥局,121.55613,25.037083,5901023331,(02)27069339,臺北市大安區延吉街２３３巷９號,臺北市,大安區,光信里
弘昇藥局,121.545787,25.043494,5901023386,(02)27110061,臺北市大安區復興南路１段１０７巷３２號,臺北市,大安區,光武里
惠盈藥局,121.541193,25.022971,5901023519,(02)87321366,臺北市大安區辛亥路２段１７１巷３１號,臺北市,大安區,龍淵里
聯合仁愛藥局,121.546319,25.037308,5901023523,(02)27039269,臺北市大安區大安路１段１５７巷３號,臺北市,大安區,德安里
一心藥局,121.554876,25.021906,5901023591,(02)27321818,臺北市大安區和平東路３段２３８號,臺北市,大安區,黎孝里
聖英藥局,121.553997,25.036542,5901023706,(02)27055851,臺北市大安區仁愛路４段２６６巷１５弄１８號,臺北市,大安區,敦煌里
元氣生活健保藥局,121.534662,25.034545,5901023724,(02)27060580,臺北市大安區新生南路１段１６１巷６號,臺北市,大安區,民炤里
康乃馨藥局,121.538211,25.034806,5901023831,(02)23257097,臺北市大安區建國南路１段３２７號,臺北市,大安區,和安里
惠良藥局,121.550727,25.024615,5901023902,(02)27387872,臺北市大安區和平東路３段９３－１號,臺北市,大安區,全安里
誠心藥局,121.540036,25.041856,5901024178,(02)27527520,臺北市大安區忠孝東路３段１９９－１號,臺北市,大安區,昌隆里
安居藥局,121.554935,25.020856,5901024221,(02)23773537,臺北市大安區安居街１９號,臺北市,大安區,黎孝里
躍獅新生藥局,121.536221,25.025664,5901024310,(02)23623367,臺北市大安區和平東路２段２０號,臺北市,大安區,龍門里
微笑藥師藥局,121.534458,25.034007,5901024481,(02)27009655,臺北市大安區信義路３段３１巷４號,臺北市,大安區,民炤里
奇威藥局,121.531152,25.023386,5901024543,(02)23651110,臺北市大安區雲和街９３號,臺北市,大安區,龍泉里
仁華藥局,121.551094,25.018343,5901024696,(02)27336762,臺北市大安區臥龍街１５５號,臺北市,大安區,黎元里
麗泰藥局,121.543998,25.028319,5901024721,(02)27079595,臺北市大安區復興南路２段１５１巷４號,臺北市,大安區,群賢里
杏一樂業藥局,121.553459,25.019585,5901024767,(02)27383194,臺北市大安區樂業街１６２號,臺北市,大安區,黎元里
昶青藥局,121.534581,25.040086,5901024838,(02)27515678,臺北市大安區濟南路３段２２之１號,臺北市,大安區,民輝里
杏一台北國泰藥局,121.553185,25.036554,5901024856,(02)27011785,臺北市大安區仁愛路４段２６６巷１５弄４號,臺北市,大安區,敦煌里
沛林東區生活藥粧藥局,121.550149,25.042668,5901024865,(02)27763759,臺北市大安區忠孝東路４段１８１巷７弄５號,臺北市,大安區,建安里
太醫藥局,121.52827,25.025681,5901024892,(02)23685125,臺北市大安區師大路１２號,臺北市,大安區,古莊里
康維健保藥局,121.550022,25.034246,5901024909,(02)27000120,臺北市大安區敦化南路１段３２９巷１５號,臺北市,大安區,敦安里
康祥藥局,121.553063,25.040254,5901024918,(02)27817891,臺北市大安區忠孝東路４段２１６巷２１號,臺北市,大安區,車層里
早安藥局,121.539578,25.028648,5901025004,(02)27002209,臺北市大安區建國南路２段１５１巷４２號１樓,臺北市,大安區,新龍里
慈仁藥局,121.51013,25.058322,5901090074,(02)25572733,臺北市大同區歸綏街２６１號１樓,臺北市,大同區,大有里
三銘大藥局,121.509909,25.055808,5901090127,(02)25583392,臺北市大同區迪化街１段８０號,臺北市,大同區,永樂里
柯藥局,121.514367,25.074519,5901090154,(02)25948515,臺北市大同區重慶北路３段３３５巷６號,臺北市,大同區,保安里
時春藥局,121.519115,25.053557,5901090181,(02)25597918,臺北市大同區赤峰街４號,臺北市,大同區,光能里
建祥藥局,121.515044,25.05485,5901090243,(02)25556476,臺北市大同區寧夏路１７號、１７－１號,臺北市,大同區,星明里
正利民藥局,121.511035,25.06806,5901090289,(02)25924842,臺北市大同區延平北路３段１０５號,臺北市,大同區,國慶里
泰元藥局,121.514619,25.07303,5901090323,(02)25914592,臺北市大同區哈密街９１號,臺北市,大同區,保安里
快安藥局,121.507656,25.053588,5901091473,(02)25561925,臺北市大同區南京西路２８２、２８４號,臺北市,大同區,玉泉里
得意藥師藥局,121.511467,25.060289,5901091544,(02)25534294,臺北市大同區延平北路２段２２９號,臺北市,大同區,延平里
健康美藥局,121.515522,25.068722,5901091624,(02)25976707,臺北市大同區民族西路１６５號,臺北市,大同區,至聖里
儷安藥局,121.515832,25.060653,5901091759,(02)25578033,臺北市大同區錦西街５３巷１６號,臺北市,大同區,民權里
富康藥局,121.511459,25.057334,5901091820,(02)25537782,臺北市大同區延平北路２段１２６號,臺北市,大同區,大有里
佳禾藥局,121.515833,25.070609,5901091857,(02)25953806,臺北市大同區大龍街２６２號,臺北市,大同區,至聖里
延平新聖安藥局,121.511201,25.064747,5901091973,(02)25923399,臺北市大同區延平北路３段３５號,臺北市,大同區,隆和里
德芳藥局,121.519369,25.057618,5901091991,(02)25576869,臺北市大同區民生西路９１號,臺北市,大同區,雙連里
中興聯合藥局,121.510788,25.050354,5901092050,(02)25502952,臺北市大同區鄭州路１２７號（實際營業地址：１樓）,臺北市,大同區,玉泉里
躍獅遠東藥局,121.510636,25.053696,5901092069,(02)25594835,臺北市大同區延平北路２段１３１號（實際營業地址：１樓）,臺北市,大同區,延平里
躍獅文昌藥局,121.519676,25.0574,5901092087,(02)25586189,臺北市大同區民生西路１０８號（實際營業：一層）,臺北市,大同區,光能里
春鄰藥局,121.519732,25.05036,5901092096,(02)25526289,臺北市大同區長安西路３５號（實際營業樓層：１層）,臺北市,大同區,建泰里
新聖安藥局,121.514281,25.065839,5901092103,(02)25977877,臺北市大同區昌吉街１３０號,臺北市,大同區,蓬萊里
百源堂大藥局,121.532247,25.048572,5901100057,(02)25364362,臺北市中山區長安東路２段４７－５號,臺北市,中山區,興亞里
名祥藥局,121.540284,25.055049,5901100066,(02)25036265,臺北市中山區龍江路１６６號,臺北市,中山區,朱馥里
大信藥局,121.525542,25.051699,5901100155,(02)25719080,臺北市中山區林森北路１５９巷６號,臺北市,中山區,正義里
明美藥局,121.526587,25.055022,5901100333,(02)25365419,臺北市中山區長春路６９號,臺北市,中山區,中山里
順泰藥局,121.53475,25.060253,5901100342,(02)25038916,臺北市中山區錦州街２６６號,臺北市,中山區,松江里
滿順藥局,121.534655,25.051448,5901100422,(02)25075283,臺北市中山區伊通街５４號１樓,臺北市,中山區,朱園里
長生藥局,121.531314,25.062067,5901100431,(02)25816210,臺北市中山區松江路３６２巷５５號１樓,臺北市,中山區,新生里
優豐藥局,121.524223,25.057935,5901100440,(02)25602565,臺北市中山區民生東路１段３２號,臺北市,中山區,中山里
能康藥局,121.525629,25.054818,5901100495,(02)25429426,臺北市中山區長春路４６號,臺北市,中山區,康樂里
良佑藥局,121.521567,25.063669,5901100771,(02)25916402,臺北市中山區撫順街６－２號１樓,臺北市,中山區,集英里
長青藥局,121.541887,25.056207,5901101072,(02)25053160,臺北市中山區興安街５５號１樓,臺北市,中山區,朱馥里
大直藥局,121.548838,25.082728,5901101205,(02)25320522,臺北市中山區北安路６１７號１樓,臺北市,中山區,大直里
美日藥局,121.523274,25.051364,5901101250,(02)25631662,臺北市中山區天津街６６號１樓,臺北市,中山區,正得里
文德藥局,121.540088,25.066075,5901101321,(02)25181178,臺北市中山區龍江路３５６巷１９號１樓,臺北市,中山區,行仁里
展佑藥局,121.531711,25.054728,5901101536,(02)25232803,臺北市中山區長春路１４６－１號,臺北市,中山區,中吉里
祥泰藥局,121.525087,25.051419,5901101652,(02)25313097,臺北市中山區林森北路１３６號,臺北市,中山區,正得里
嘉恩藥局,121.538508,25.060326,5901101910,(02)25181418,臺北市中山區錦州街３２１號,臺北市,中山區,江寧里
樂活苑藥局,121.547952,25.08014,5901101929,(02)25323296,臺北市中山區北安路５４６號１樓,臺北市,中山區,永安里
大愛藥師藥局,121.530392,25.061647,5901101992,(02)25424723,臺北市中山區吉林路２５５號１樓,臺北市,中山區,新生里
久大藥局,121.525478,25.061269,5901102015,(02)25111594,臺北市中山區林森北路４８０號,臺北市,中山區,聚葉里
華康藥局,121.521673,25.058248,5901102515,(02)25211772,臺北市中山區民生西路３巷２之１號,臺北市,中山區,集英里
躍獅晴光藥局,121.52454,25.065007,5901102579,(02)25951393,臺北市中山區農安街２３之２號,臺北市,中山區,晴光里
德惠藥局,121.530042,25.066522,5901102597,(02)25971131,臺北市中山區德惠街１２２號,臺北市,中山區,新庄里
金生藥局,121.54068,25.048426,5901102631,(02)87729808,臺北市中山區長安東路２段１６７－１號,臺北市,中山區,力行里
興康源藥局,121.521402,25.051434,5901102677,(02)25311248,臺北市中山區中山北路１段１４０巷８號,臺北市,中山區,民安里
正傑健保藥局,121.542569,25.048385,5901102837,(02)27310181,臺北市中山區長安東路２段１８１號,臺北市,中山區,力行里
錦西春天生活藥局,121.521574,25.06024,5901102855,(02)25312658,臺北市中山區錦西街１０號,臺北市,中山區,集英里
保德明水藥局,121.549291,25.081912,5901102971,(02)85097769,臺北市中山區北安路６０８巷４弄１號,臺北市,中山區,成功里
大直健康藥局,121.548643,25.081944,5901103110,(02)25323310,臺北市中山區北安路５９１號,臺北市,中山區,大直里
OK藥師藥局,121.543465,25.056155,5901103183,(02)25170068,臺北市中山區興安街９５號,臺北市,中山區,龍洲里
昶青林森藥局,121.526852,25.050182,5901103192,(02)25639939,臺北市中山區林森北路１１９巷５２號,臺北市,中山區,正義里
麗恩藥局,121.525798,25.065299,5901103209,(02)25981982,臺北市中山區林森北路５７５之５號,臺北市,中山區,晴光里
建誠中西藥局,121.541046,25.065106,5901103227,(02)25158608,臺北市中山區龍江路３８５之１號,臺北市,中山區,下埤里
仁一藥局,121.525506,25.062326,5901103325,(02)25711742,臺北市中山區林森北路５２０號,臺北市,中山區,聚葉里
大直小太陽藥局,121.548762,25.08241,5901103334,(02)85093208,臺北市中山區北安路６０７之１號,臺北市,中山區,大直里
美康正康藥局,121.549061,25.082382,5901103352,(02)25323077,臺北市中山區北安路６１６之１號、６１８號２樓之１,臺北市,中山區,成功里
農安藥局,121.524773,25.064832,5901103423,(02)25959293,臺北市中山區農安街１８之１號,臺北市,中山區,恆安里
禾全藥局,121.540871,25.065323,5901103585,(02)25165721,臺北市中山區龍江路３３２號,臺北市,中山區,行仁里
永安藥局,121.585191,25.077228,5901110311,(02)26586658,臺北市內湖區文德路２１０巷３０弄４８號,臺北市,內湖區,紫陽里
富山藥局,121.572833,25.08168,5901110339,(02)27996446,臺北市內湖區麗山街３６４巷２號１樓,臺北市,內湖區,麗山里
明湖藥局,121.612468,25.069705,5901110393,(02)26313515,臺北市內湖區東湖路７巷２７號１Ｆ,臺北市,內湖區,安湖里
宏光藥局,121.590855,25.067378,5901110624,(02)27919068,臺北市內湖區成功路２段２２１號１樓,臺北市,內湖區,寶湖里
杏佳藥局,121.591996,25.08033,5901111863,(02)27915726,臺北市內湖區康寧路１段５１號,臺北市,內湖區,紫星里
安康藥局,121.615788,25.06785,5901111890,(02)26327675,臺北市內湖區安康路４８２號,臺北市,內湖區,五分里
至康藥局,121.578502,25.079246,5901111934,(02)26580022,臺北市內湖區內湖路１段７３７巷１９弄１號,臺北市,內湖區,港富里
文新藥局,121.559897,25.085443,5901112011,(02)87978865,臺北市內湖區文湖街７－５號１樓,臺北市,內湖區,西康里
匯安藥局,121.57742,25.079637,5901112600,(02)26579255,臺北市內湖區內湖路１段７０３之１號,臺北市,內湖區,港富里
富康東湖藥局,121.617002,25.069879,5901112682,(02)26323222,臺北市內湖區東湖路１１９巷４９弄１６號,臺北市,內湖區,東湖里
思恩藥局,121.593226,25.081206,5901112824,(02)27965808,臺北市內湖區成功路４段６１巷２６號,臺北市,內湖區,清白里
早安元氣藥局,121.592084,25.081666,5901112842,(02)27925994,臺北市內湖區成功路４段５３號１樓,臺北市,內湖區,紫星里
展恩藥局,121.587698,25.068664,5901112860,(02)27953041,臺北市內湖區民權東路６段１３６巷４號,臺北市,內湖區,湖元里
壹零捌藥局,121.599638,25.084879,5901112879,(02)27910061,臺北市內湖區成功路４段３４４號,臺北市,內湖區,秀湖里
昇龍藥局,121.617366,25.0681,5901112995,(02)26316783,臺北市內湖區東湖路１５１號,臺北市,內湖區,東湖里
桔子藥局,121.591667,25.083185,5901113018,(02)27930052,臺北市內湖區內湖路２段３３３號,臺北市,內湖區,內湖里
晟安藥局,121.590203,25.085935,5901113027,(02)87919320,臺北市內湖區金龍路１３５號,臺北市,內湖區,金龍里
宜昇優良藥局,121.612039,25.071555,5901113081,(02)26327817,臺北市內湖區康寧路３段１６５巷１０號,臺北市,內湖區,明湖里
傑昇藥局,121.589045,25.081803,5901113198,(02)27925957,臺北市內湖區內湖路２段２２７號,臺北市,內湖區,湖濱里
新安健保藥局,121.579693,25.054657,5901113205,(02)27932289,臺北市內湖區新明路４０２號,臺北市,內湖區,週美里
大內湖藥局,121.590993,25.081072,5901113250,(02)27956286,臺北市內湖區成功路３段１６４號１樓,臺北市,內湖區,湖濱里
樂齡藥師藥局,121.5909,25.086408,5901113269,(02)27919707,臺北市內湖區內湖路３段１０３號,臺北市,內湖區,金龍里
晶龍藥局,121.596105,25.084566,5901113438,(02)27956255,臺北市內湖區成功路４段２１８號,臺北市,內湖區,金龍里
安安藥局,121.591774,25.080289,5901113509,(02)87912187,臺北市內湖區康寧路１段４號１樓,臺北市,內湖區,紫星里
西湖藥局,121.569261,25.0822,5901113572,(02)26279291,臺北市內湖區內湖路１段３５５號,臺北市,內湖區,麗山里
維安藥局,121.590636,25.081434,5901113590,(02)27944520,臺北市內湖區成功路３段１７４巷２３號,臺北市,內湖區,內湖里
旭村藥局,121.605542,25.056608,5901120022,(02)27820948,臺北市南港區興華路１１２號,臺北市,南港區,東新里
裕成藥局,121.583448,25.044334,5901120139,(02)27851227,臺北市南港區玉成街１６６巷１３號,臺北市,南港區,萬福里
新錦安藥局,121.592216,25.054292,5901120175,(02)27825218,臺北市南港區南港路３段３４號,臺北市,南港區,西新里
仁泰藥局,121.584086,25.045108,5901120184,(02)27855464,臺北市南港區同德路２８號,臺北市,南港區,萬福里
加欣藥局,121.605398,25.054251,5901120308,(02)27836222,臺北市南港區南港路２段２６號,臺北市,南港區,東明里
祥安藥局,121.583168,25.043288,5901121421,(02)26547322,臺北市南港區中坡南路２５號,臺北市,南港區,鴻福里
健園藥局,121.61657,25.054014,5901121583,(02)27851567,臺北市南港區研究院路１段１９號１樓,臺北市,南港區,新富里
富康活力藥局,121.616512,25.051809,5901121627,(02)27828810,臺北市南港區研究院路１段１０１巷８號,臺北市,南港區,新富里
亞博藥師藥局,121.606059,25.055447,5901121672,(02)27838090,臺北市南港區興華路８１號,臺北市,南港區,南港里
佳龍藥局,121.6152,25.045397,5901121725,(02)27885951,臺北市南港區研究院路２段８０號,臺北市,南港區,中研里
儀安健保藥局,121.58529,25.045698,5901121823,(02)27859893,臺北市南港區同德路７４號,臺北市,南港區,萬福里
南港藥局,121.611883,25.055359,5901121869,(02)27829137,臺北市南港區南港路一段１６６號,臺北市,南港區,南港里
順翔藥局,121.616894,25.037849,5901121896,(02)27824332,臺北市南港區研究院路２段１７０號,臺北市,南港區,九如里
景星藥局,121.592399,25.054342,5901121903,(02)27838816,臺北市南港區南港路３段２６號,臺北市,南港區,西新里
成恩藥局,121.586734,25.044727,5901121912,(02)27856602,臺北市南港區成福路２３號,臺北市,南港區,成福里
小藥師健保藥局,121.587984,25.039483,5901121930,(02)27867002,臺北市南港區福德街３２０之１號,臺北市,南港區,百福里
心亮藥局,121.581777,25.046922,5901121958,(02)27881677,臺北市南港區玉成街６６之７號,臺北市,南港區,合成里
勝安藥局,121.621117,25.039491,5901121985,(02)27828450,臺北市南港區舊莊街１段１６５號,臺北市,南港區,舊莊里
南風藥局,121.523331,25.097156,5901150011,(02)28320375,臺北市士林區美崙街１９號１樓,臺北市,士林區,福佳里
菁安藥局,121.5234101,25.0971449,5901150057,(02)28323951,臺北市士林區美侖街１３號１樓,,,
新興藥局,121.520621,25.103977,5901150128,(02)28362643,臺北市士林區德行西路１１７號,臺北市,士林區,蘭興里
坤成泰藥局,121.516172,25.089956,5901150146,(02)28813903,臺北市士林區大南路４１２號,臺北市,士林區,後港里
杏城藥局,121.532249,25.117637,5901150235,(02)28725144,臺北市士林區天母東路２４號,臺北市,士林區,天福里
佳赫藥局,121.521553,25.095622,5901150244,(02)28367202,臺北市士林區文昌路６２號,臺北市,士林區,福佳里
士林三安藥局,121.526009,25.088981,5901150342,(02)28812631,臺北市士林區大南路１１號,臺北市,士林區,仁勇里
博惠藥局,121.5236009,25.0955096,5901150397,(02)28320379,臺北市士林區華榮街１６號,臺北市,士林區,福佳里
太安藥局,121.51013,25.082512,5901150468,(02)28111468,臺北市士林區延平北路５段１５７號,臺北市,士林區,富光里
日康藥局,121.526737,25.111678,5901150575,(02)28358558,臺北市士林區士東路１２號１樓,臺北市,士林區,蘭雅里
安寧藥局,121.519909,25.082846,5901150593,(02)28803319,臺北市士林區劍潭路９１號,臺北市,士林區,百齡里
天母大和藥師藥局,121.531665,25.108967,5901150771,(02)28310142,臺北市士林區德行東路１８９－１號１樓,臺北市,士林區,三玉里
今欣藥局,121.527376,25.119313,5901152024,(02)28713129,臺北市士林區天母西路４１巷９號１樓,臺北市,士林區,天玉里
資生堂藥局,121.522022,25.081072,5901152079,(02)28857588,臺北市士林區承德路４段４０巷１７號１Ｆ,臺北市,士林區,福華里
社子全民藥局,121.510565,25.081694,5901152122,(02)28127412,臺北市士林區延平北路５段１２０號,臺北市,士林區,福順里
康華藥局,121.531073,25.118636,5901152131,(02)28743223,臺北市士林區中山北路７段１４巷２號２樓,臺北市,士林區,天山里
達揚藥局,121.509901,25.088771,5901152604,(02)88115559,臺北市士林區社正路３６號１樓,臺北市,士林區,社子里
和樹藥局,121.522772,25.084438,5901152659,(02)28821188,臺北市士林區後港街４５巷１號１樓,臺北市,士林區,前港里
三光藥局,121.509549,25.086279,5901152686,(02)28123786,臺北市士林區延平北路５段３２０號１樓,臺北市,士林區,葫東里
博信藥局,121.508764,25.087878,5901152720,(02)28128295,臺北市士林區延平北路６段６１號,臺北市,士林區,社新里
芳圓藥局,121.507966,25.087495,5901152739,(02)28168666,臺北市士林區社子街２６－１號,臺北市,士林區,社新里
柏雅大藥局,121.522685,25.105058,5901152748,(02)88664398,臺北市士林區德行西路６４號,臺北市,士林區,德行里
幸福藥局,121.528394,25.108121,5901152873,(02)28346650,臺北市士林區德行東路１０９巷８號,臺北市,士林區,蘭雅里
聖賢藥局,121.520033,25.090564,5901153101,(02)28833046,臺北市士林區士商路５８號,臺北市,士林區,後港里
健揚藥局,121.509683,25.084827,5901153263,(02)28163698,臺北市士林區延平北路５段２５１號,臺北市,士林區,葫蘆里
大南春天生活藥局,121.518016,25.088874,5901153432,(02)28882196,臺北市士林區大南路３１７、３１９號,臺北市,士林區,後港里
祥新藥局,121.506745,25.087513,5901153503,(02)28110906,臺北市士林區社子街６５號,臺北市,士林區,社新里
天母台安藥局,121.526217,25.118348,5901153521,(02)28728017,臺北市士林區天母西路３４號,臺北市,士林區,天壽里
華齡春天生活藥局,121.519941,25.088494,5901153567,(02)28882156,臺北市士林區華齡街３６、３８號,臺北市,士林區,前港里
德行春天生活藥局,121.527464,25.107302,5901153585,(02)28380306,臺北市士林區德行東路７６號,臺北市,士林區,忠誠里
家安健保藥局,121.528778,25.111562,5901153610,(02)28322182,臺北市士林區德行東路１０９巷１１９號,臺北市,士林區,蘭雅里
愛佳藥局,121.521473,25.088502,5901153674,(02)28811199,臺北市士林區承德路４段２２２之１號,臺北市,士林區,前港里
安奕藥局,121.509931,25.080338,5901153683,(02)28133289,臺北市士林區葫蘆街３０巷１２號,臺北市,士林區,富光里
全予藥局,121.532885,25.109385,5901153709,(02)28386955,臺北市士林區德行東路２２１號,臺北市,士林區,三玉里
太和堂中西藥局,121.525679,25.090366,5901153825,(02)28814122,臺北市士林區大東路７４號（實際使用：１樓）,臺北市,士林區,仁勇里
佩佩藥局,121.525201,25.107587,5901153861,(02)28382662,臺北市士林區中山北路６段１８２號,臺北市,士林區,蘭雅里
躍獅芝山藥局,121.52273,25.10357,5901153905,(02)28365822,臺北市士林區福華路１５４號（實際使用：１樓）,臺北市,士林區,德行里
藥本家藥局,121.532774,25.118845,5901154108,(02)28766682,臺北市士林區中山北路７段１４巷２６號１樓,臺北市,士林區,天山里
石牌藥局,121.510583,25.113297,5901160044,(02)28214986,臺北市北投區石牌路１段４９號,臺北市,北投區,吉慶里
天蓮藥局,121.515515,25.111918,5901160053,(02)28211824,臺北市北投區石牌路１段１６６巷１１５號,臺北市,北投區,榮光里
丸三大藥局,121.515267,25.110859,5901160062,(02)28230637,臺北市北投區自強街１０５號,臺北市,北投區,榮光里
進春藥局,121.520643,25.110863,5901160099,(02)28216938,臺北市北投區明德路１５１號,臺北市,北投區,裕民里
川秀藥局,121.516637,25.117921,5901160197,(02)28270702,臺北市北投區石牌路２段９９巷９號１樓,臺北市,北投區,永明里
新祥藥局,121.46682,25.119352,5901160222,(02)28582551,臺北市北投區知行路２０８號－１,臺北市,北投區,關渡里
昌源藥局,121.469233,25.128426,5901160286,(02)28928695,臺北市北投區中央北路４段４８５號,臺北市,北投區,一德里
九福藥局,121.508068,25.126125,5901160428,(02)28953009,臺北市北投區公館路２３６號,臺北市,北投區,奇岩里
